title,series,author,language,genres,pages,publishDate,firstPublishDate,numRatings,likedPercent,coverImg
The Hitchhiker's Guide to the Galaxy,The Hitchhiker's Guide to the Galaxy #1,Douglas Adams,English,"['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Classics', 'Comedy', 'Science Fiction Fantasy', 'Audiobook', 'Adventure', 'Novels']",193,6/23/2007,10/12/1979,1436325,94,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559986152l/386162.jpg
The Hunger Games,The Hunger Games #1,Suzanne Collins,English,"['Young Adult', 'Fiction', 'Dystopia', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Teen', 'Post Apocalyptic', 'Action']",374,9/14/2008,,6376780,96,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722975l/2767052.jpg
The Importance of Being Earnest,,Oscar Wilde,,,,,,,,
The Kite Runner,,Khaled Hosseini,English,"['Fiction', 'Historical Fiction', 'Contemporary', 'Classics', 'Novels', 'Historical', 'Literature', 'Adult', 'Adult Fiction', 'Drama']",371,5/28/2004,5/29/2003,2424976,95,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579036753l/77203._SY475_.jpg
The Lightning Thief,Percy Jackson and the Olympians #1,Rick Riordan,English,"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Childrens', 'Urban Fantasy', 'Greek Mythology', 'Magic']",375,3/1/2006,6/28/2005,1992300,95,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400602609l/28187.jpg
The Little Prince,,Antoine de Saint-Exupéry,English,"['Classics', 'Fiction', 'Fantasy', 'Childrens', 'France', 'Young Adult', 'Philosophy', 'Literature', 'French Literature', 'Middle Grade']",93,6/29/2000,4/6/1943,1363048,95,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367545443l/157993.jpg
The Lovely Bones,,Alice Sebold,English,"['Fiction', 'Mystery', 'Young Adult', 'Contemporary', 'Fantasy', 'Crime', 'Adult', 'Adult Fiction', 'Drama', 'Novels']",372,9/1/2006,7/3/2002,2014401,89,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1457810586l/12232938.jpg
The Man Who Was Thursday,,G. K. Chesterton,,,,,,,,
The Mind of the Maker,,Dorothy Sayers,,,,,,,,
The Notebook,The Notebook #1,Nicholas Sparks,English,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Adult', 'Adult Fiction', 'Contemporary Romance', 'Love', 'Drama', 'Classics']",227,1/5/2000,10/1/1996,1331152,91,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483183484l/33648131._SY475_.jpg
The Odyssey,,Homer,English,"['Classics', 'Fiction', 'Poetry', 'Mythology', 'Fantasy', 'School', 'Literature', 'Adventure', 'Read For School', 'Historical Fiction']",541,11/30/2006,10/28/2000,861486,87,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390173285l/1381.jpg
The Old Man and the Sea,,Ernest Hemingway,English,"['Classics', 'Fiction', 'Literature', 'Novels', 'American', 'School', 'Adventure', 'Classic Literature', 'Literary Fiction', '20th Century']",96,10/28/1996,9/1/1952,831152,87,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329189714l/2165.jpg
The Outsiders,,S.E. Hinton,English,"['Classics', 'Young Adult', 'Fiction', 'School', 'Realistic Fiction', 'Read For School', 'Coming Of Age', 'Historical Fiction', 'Contemporary', 'Teen']",192,9/1/1997,4/24/1967,938150,94,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442129426l/231804.jpg
The Perks of Being a Wallflower,,Stephen Chbosky,English,"['Young Adult', 'Fiction', 'Contemporary', 'Coming Of Age', 'Romance', 'Realistic Fiction', 'LGBT', 'Classics', 'Mental Health', 'Teen']",213,2/28/1999,,1250155,94,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520093244l/22628.jpg
The Picture of Dorian Gray,,Oscar Wilde,English,"['Classics', 'Fiction', 'Horror', 'Fantasy', 'Literature', 'Gothic', 'Novels', '19th Century', 'LGBT', 'Classic Literature']",272,6/1/2004,7/20/1990,966196,94,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546103428l/5297.jpg
The Pillars of the Earth,Kingsbridge #1,Ken Follett,English,"['Historical Fiction', 'Fiction', 'Historical', 'Fantasy', 'Classics', 'Medieval', 'Audiobook', 'British Literature', 'Novels', 'Adult']",976,2/4/2002,10/28/1989,648793,95,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576956100l/5043.jpg
